IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
109,8.65,8.77,7,1,2,2,0,No
87,8.12,7.81,10,0,0,6,4,No
91,6.19,6.09,5,1,1,10,2,No
111,7.52,7.56,10,1,5,10,2,Yes
109,9.63,9.97,2,1,7,5,5,No
99,9.08,8.64,6,0,3,8,0,No
101,6.62,6.72,7,1,1,1,4,No
119,9.91,10.13,2,0,4,9,2,Yes
91,8.54,9.02,10,0,2,9,0,No
108,5.31,5.62,8,1,4,7,5,No
96,5.18,4.96,5,1,2,8,3,No
96,5.84,6.05,8,0,10,9,3,No
116,8.64,8.9,3,0,3,5,3,Yes
112,5.92,6.15,2,1,4,2,1,No
112,7.56,7.88,7,1,6,1,4,No
119,5.47,5.87,5,1,1,5,5,No
100,9.6,9.2,5,0,5,8,3,Yes
110,6.72,6.32,8,0,5,10,2,No
95,9.54,9.84,9,0,5,4,1,No
104,9.72,9.47,8,1,6,4,3,No
98,5.03,4.59,10,0,10,4,0,No
101,7.32,7.22,2,0,2,8,2,No
108,5.12,5.44,10,1,4,7,1,No
87,9.54,9.17,7,0,8,1,1,No
131,7.59,7.76,5,0,8,10,2,Yes
84,5.37,4.87,7,1,6,6,3,No
81,5.55,5.16,3,1,8,4,5,No
117,6.92,6.77,4,1,2,2,5,No
111,9.7,9.28,7,0,6,3,0,No
109,8.46,8.81,2,0,0,4,0,No
109,9.34,9.7,2,0,6,10,5,Yes
99,6.83,7.09,1,1,2,7,5,No
86,5.22,4.96,1,0,2,1,0,No
101,9.87,9.89,1,1,6,1,1,No
89,5.09,4.77,6,1,7,3,3,No
114,9.74,9.52,5,1,3,2,5,Yes
97,6.84,6.86,10,1,0,3,5,No
87,5.05,5.29,8,0,4,3,2,No
95,8.45,8.04,5,1,9,1,4,No
106,9.9,9.7,1,1,3,6,0,No
91,9.83,10.26,8,0,8,8,2,Yes
87,5.8,5.73,6,0,2,5,5,No
103,5.91,6.35,8,1,3,1,5,No
103,7.83,8.32,2,1,9,10,2,Yes
92,8.19,8.22,10,1,2,7,5,No
92,8.7,8.49,8,0,2,10,0,No
103,5.91,6.2,6,0,6,9,4,No
78,9.8,9.46,1,0,4,7,1,No
78,8.19,7.94,1,1,4,9,1,No
89,9.24,9.52,10,0,3,10,3,Yes
96,7.7,7.63,5,0,9,9,5,No
104,7.07,6.77,7,1,7,2,1,No
122,9.89,10.04,4,0,0,8,2,Yes
112,7.91,8.14,10,0,10,7,1,No
97,9.33,8.96,5,0,8,7,3,No
99,9.77,9.55,10,0,10,2,2,No
84,8.38,8.1,3,0,8,1,2,No
99,7.74,7.62,2,0,10,4,4,No
95,5.02,5.28,2,0,4,7,5,No
104,5.2,5.41,5,0,0,6,0,No
87,6.0,6.16,4,1,1,10,0,No
107,5.93,5.44,2,0,1,2,0,No
122,6.27,5.91,5,1,5,7,3,No
98,6.52,6.24,10,1,9,10,1,No
106,6.8,6.57,9,0,8,9,0,No
110,7.1,6.75,8,0,2,2,1,No
93,5.49,5.4,9,0,7,10,0,No
103,5.21,4.79,9,0,1,5,4,No
100,8.37,8.62,8,0,4,2,1,No
101,7.69,7.98,9,0,3,1,3,No
88,7.22,7.29,4,0,4,7,5,No
100,8.17,7.76,8,1,3,2,5,No
107,9.14,9.53,2,0,0,6,3,No
121,7.14,7.61,9,0,0,7,1,No
114,8.21,7.91,9,0,5,1,5,No
132,9.77,9.97,3,0,7,9,3,Yes
88,9.2,9.54,6,0,6,6,2,No
113,7.13,7.17,7,1,3,2,3,No
102,8.22,8.04,3,1,4,1,4,No
132,5.89,5.87,5,0,7,1,4,No
87,7.8,7.81,1,0,5,2,1,No
87,9.91,9.81,3,1,7,9,3,Yes
91,7.59,8.02,8,0,5,2,1,No
68,9.64,9.88,3,0,7,1,0,No
92,7.04,6.78,8,1,3,4,2,No
88,9.99,10.08,9,0,9,9,1,No
102,7.9,8.09,6,1,1,8,1,No
105,5.21,4.85,7,0,2,7,1,No
128,7.93,7.79,6,0,4,8,5,Yes
114,6.37,6.78,8,0,3,2,1,No
91,5.16,5.23,7,0,4,5,5,No
86,9.1,8.82,10,0,0,7,4,No
107,6.38,6.0,1,0,0,1,2,No
80,8.98,9.0,3,1,1,6,0,No
127,6.44,6.49,3,0,10,7,2,No
117,5.97,5.8,3,0,1,8,1,No
92,9.87,10.0,4,1,7,5,4,No
74,6.81,6.38,1,0,9,8,0,No
120,8.01,7.66,2,1,3,10,5,Yes
98,8.05,8.1,5,0,5,1,1,No
118,7.8,7.36,6,1,1,4,5,No
76,9.57,9.95,9,1,0,6,1,No
91,8.37,8.01,2,0,6,4,3,No
100,7.02,7.19,9,0,3,5,2,No
100,9.31,9.2,7,0,3,2,2,No
93,5.91,5.81,9,0,1,7,2,No
109,7.72,7.98,4,1,8,9,3,No
83,9.75,9.75,7,1,1,7,4,No
97,8.13,8.36,1,1,4,1,4,No
101,9.08,9.09,8,0,5,2,4,No
107,8.27,8.36,7,1,2,8,5,Yes
110,9.2,9.46,7,0,10,1,0,No
83,9.72,9.83,2,1,2,2,3,No
76,6.36,6.48,10,1,5,5,3,No
119,5.85,6.14,9,1,4,6,4,No
104,7.42,7.87,8,0,4,1,4,No
88,8.51,8.39,1,1,4,1,4,No
123,6.14,6.22,1,1,8,2,3,No
101,5.02,4.61,5,0,7,3,4,No
117,6.71,6.57,2,1,3,9,2,Yes
101,9.84,9.75,1,0,5,3,4,No
130,8.47,8.81,10,0,4,8,2,Yes
126,7.01,7.02,8,1,10,6,1,No
96,5.96,6.19,4,0,5,10,1,No
114,6.78,6.3,2,0,10,5,3,No
109,5.85,5.81,5,0,7,9,0,No
120,5.53,5.93,6,1,5,8,5,Yes
85,9.53,9.25,8,1,5,3,1,No
110,9.99,9.52,7,0,1,7,3,No
115,5.82,5.75,7,1,6,4,3,No
73,5.27,5.47,1,0,2,8,2,No
82,6.65,6.6,3,0,6,7,2,No
69,7.31,7.27,3,1,4,3,4,No
95,6.02,6.19,7,0,3,7,5,No
110,6.51,6.26,2,1,9,6,1,No
122,6.0,6.25,10,1,0,6,2,No
101,8.87,8.52,7,0,7,10,0,No
124,8.56,8.46,9,1,1,3,5,Yes
79,8.17,8.33,1,0,9,4,3,No
74,6.94,7.27,2,0,7,4,5,No
99,9.55,9.84,6,0,6,6,4,No
105,9.85,10.07,2,0,2,9,2,Yes
99,5.87,5.73,2,1,10,5,2,No
68,6.12,5.74,5,0,6,8,2,No
98,7.63,7.35,7,0,0,5,5,No
80,5.46,5.82,4,1,4,6,1,No
110,7.18,7.54,6,1,1,6,5,No
105,7.91,8.36,3,0,1,4,2,No
85,7.61,7.19,4,1,2,10,5,No
92,6.65,6.69,4,0,6,10,3,No
84,7.71,7.86,4,0,1,5,2,No
99,9.79,10.0,1,1,3,4,5,No
114,6.03,6.17,4,0,3,2,0,No
85,8.27,8.54,4,1,0,2,2,No
107,5.22,5.08,6,1,6,8,4,No
92,5.33,5.01,9,0,3,4,4,No
88,7.76,7.46,10,1,0,9,0,No
98,5.52,5.03,6,0,2,6,4,No
84,5.11,4.96,6,0,7,5,1,No
91,5.86,5.45,7,0,3,7,3,No
82,7.82,7.64,7,1,0,6,3,No
129,8.52,8.65,1,0,6,4,1,No
100,6.01,6.4,8,0,7,10,4,No
89,8.34,8.68,1,0,4,9,0,No
103,5.91,5.66,9,1,8,6,0,No
98,8.07,7.7,4,0,6,3,3,No
96,7.06,6.75,9,0,3,4,5,No
109,8.27,8.74,8,0,8,4,0,No
111,9.98,10.03,9,1,5,8,1,Yes
92,9.69,9.37,6,1,10,5,3,No
91,5.02,5.36,9,1,7,8,2,No
95,9.43,9.33,4,1,1,8,1,No
65,5.33,5.73,3,1,4,6,1,No
77,9.77,9.53,3,0,2,5,0,No
120,6.41,6.3,8,0,4,2,5,No
124,6.91,6.91,2,1,7,1,0,No
96,5.46,5.85,6,0,5,7,0,No
108,5.56,5.93,9,1,0,10,2,No
104,8.63,8.7,9,0,6,10,1,No
116,8.05,7.95,8,1,0,2,3,No
98,8.58,9.06,1,1,0,3,0,No
85,8.81,8.92,7,0,3,8,0,No
75,6.31,6.59,1,0,8,4,1,No
103,5.23,5.18,9,0,7,5,2,No
88,5.01,5.04,3,0,9,7,0,No
78,6.75,6.68,1,0,2,8,2,No
90,6.21,6.41,8,0,5,1,2,No
83,5.31,5.66,7,0,0,7,4,No
125,5.9,5.91,2,1,9,3,2,No
113,5.62,5.6,7,1,0,5,4,No
99,9.57,9.41,5,0,5,1,3,No
122,5.7,5.38,7,0,4,3,2,No
101,7.69,8.13,10,1,5,5,3,No
87,7.97,7.79,7,0,8,1,2,No
122,7.72,8.02,2,1,4,2,4,Yes
108,5.5,5.72,2,0,1,3,4,No
84,6.59,6.88,7,1,0,8,3,No
97,5.26,5.7,3,1,10,5,1,No
86,6.98,7.1,4,0,1,5,1,No
79,5.94,6.34,7,0,7,3,1,No
113,7.81,7.48,2,0,0,9,2,Yes
128,8.46,8.59,2,0,5,9,1,Yes
79,7.66,7.93,9,0,4,2,3,No
108,7.17,6.94,1,0,9,8,1,No
90,6.94,7.18,3,1,10,1,3,No
92,9.21,9.49,10,1,8,5,3,No
91,6.1,6.43,4,0,3,7,5,No
87,8.67,8.48,5,0,4,8,2,Yes
100,8.79,8.97,3,0,4,8,5,Yes
87,7.1,6.9,9,1,10,6,4,No
104,6.49,6.73,5,0,1,7,2,No
99,7.35,7.31,7,0,10,4,2,No
96,5.47,5.57,7,1,1,10,0,No
86,5.23,5.15,9,0,8,7,1,No
91,5.56,5.22,2,0,2,7,1,No
111,5.94,5.62,3,0,5,9,3,Yes
107,7.52,7.1,4,1,3,2,4,No
85,9.25,9.37,8,0,3,8,5,Yes
101,6.18,6.53,1,1,4,9,1,No
111,9.68,9.2,9,0,4,3,1,No
74,9.77,9.34,5,1,6,8,4,Yes
108,9.79,9.75,4,0,6,1,1,No
90,9.19,9.43,8,0,0,10,0,No
108,6.82,6.48,9,0,5,5,1,No
88,5.36,5.13,3,0,3,1,0,No
72,7.84,7.57,4,1,1,1,2,No
75,7.79,7.69,1,1,5,6,2,No
100,9.25,8.97,3,0,6,5,0,No
103,9.98,9.83,10,0,1,5,5,No
86,7.54,7.77,5,0,1,2,5,No
109,6.73,6.84,8,0,9,10,3,No
75,5.93,5.51,1,1,10,9,0,No
99,5.02,5.16,1,1,6,5,3,No
81,7.55,7.53,3,1,8,3,4,No
90,7.78,8.21,9,0,2,7,4,No
100,9.12,8.91,9,0,2,6,0,No
87,7.52,7.75,1,0,7,6,3,No
94,9.58,9.81,4,0,1,5,2,No
115,8.14,7.86,8,0,8,4,0,No
91,9.2,9.6,2,0,6,6,0,No
112,5.74,5.73,4,1,7,7,3,No
83,9.28,9.46,7,0,8,8,4,Yes
107,8.38,8.03,7,0,2,2,5,No
121,5.85,5.61,5,1,5,4,2,No
62,5.95,6.04,7,0,7,7,3,No
88,9.63,9.45,6,0,0,3,3,No
108,5.16,5.16,2,0,5,5,2,No
96,7.31,7.18,9,1,2,10,5,No
105,6.57,6.71,5,0,7,7,5,No
90,8.33,8.32,2,0,8,9,0,No
101,9.2,8.7,6,0,4,6,0,No
97,6.8,6.95,10,1,1,2,1,No
117,7.13,7.05,5,1,6,9,2,Yes
103,9.91,9.75,2,0,5,6,3,No
105,8.92,8.51,10,0,5,10,1,No
93,9.49,9.21,10,0,0,2,1,No
92,7.19,6.91,7,0,0,1,1,No
93,6.17,6.61,10,0,5,4,0,No
105,7.06,6.99,2,1,5,2,4,No
93,8.58,8.12,7,1,3,7,1,No
104,5.55,5.19,6,1,7,7,3,No
131,6.35,5.93,4,1,8,3,5,No
113,5.23,5.32,4,0,5,10,0,No
95,7.16,6.85,6,0,9,1,5,No
118,9.14,9.14,9,0,7,2,4,Yes
93,5.12,4.99,10,1,7,8,4,No
69,8.38,8.68,6,1,1,4,1,No
84,9.66,9.48,6,1,3,3,1,No
71,6.18,6.14,1,0,0,10,0,No
94,8.47,8.69,5,1,0,7,1,No
100,9.88,9.81,1,0,5,10,0,No
125,9.81,10.1,9,0,6,4,4,Yes
104,6.17,6.33,10,0,4,2,3,No
96,5.5,5.41,4,1,7,3,3,No
112,5.74,5.74,2,0,8,4,2,No
66,8.51,8.98,9,0,3,1,5,No
103,8.63,8.79,6,1,0,8,2,Yes
111,8.37,8.77,10,1,5,8,2,Yes
77,6.68,6.36,3,0,0,5,3,No
117,5.85,5.83,2,1,1,6,1,No
105,7.9,8.31,6,1,10,4,0,No
93,7.42,7.24,10,1,3,3,3,No
109,8.64,9.11,6,1,3,3,2,No
134,7.21,6.81,9,1,5,4,2,No
102,6.69,7.09,5,0,7,6,5,No
103,6.47,6.42,9,0,2,2,1,No
93,6.06,5.63,5,0,5,6,2,No
87,6.33,6.71,2,1,2,8,2,No
112,5.47,5.22,1,1,1,9,0,No
87,6.73,6.25,9,1,3,4,1,No
101,5.18,4.82,10,0,3,5,4,No
92,5.93,6.09,7,1,1,8,4,No
107,8.73,9.21,3,0,10,10,2,Yes
105,6.63,6.24,6,1,2,2,2,No
115,8.34,8.3,10,0,8,10,0,Yes
92,8.58,8.26,4,0,9,2,4,No
95,7.91,8.16,9,1,8,9,1,No
85,9.79,9.41,2,0,9,6,1,No
93,5.11,4.85,4,0,6,10,3,No
105,8.69,8.39,1,0,1,9,5,Yes
111,9.79,9.84,7,0,4,10,3,Yes
86,9.31,9.68,4,1,7,7,1,No
113,5.84,5.85,5,0,0,5,3,No
120,6.63,6.19,1,1,0,9,5,Yes
106,5.86,5.92,2,1,10,9,5,No
128,8.01,8.31,4,1,10,2,0,No
88,8.56,8.19,2,1,5,8,2,Yes
81,6.59,6.16,1,1,6,8,1,No
73,7.7,7.39,10,0,6,2,4,No
122,8.45,8.7,1,0,2,10,4,Yes
109,7.11,7.2,6,0,9,7,1,No
99,9.27,9.31,2,0,3,1,3,No
104,8.86,8.61,3,0,8,5,3,No
83,5.32,5.15,5,1,10,5,1,No
136,8.11,8.58,3,1,9,10,1,Yes
101,6.18,5.92,6,0,3,5,1,No
101,7.79,8.19,7,0,4,2,0,No
110,9.78,9.86,10,1,5,3,4,No
107,9.4,9.02,6,1,6,6,0,No
103,7.02,6.99,2,1,4,1,5,No
88,6.46,6.91,9,0,6,6,0,No
107,6.17,6.09,2,0,1,6,2,No
128,7.66,8.02,6,0,6,7,0,No
120,5.57,5.33,9,0,4,9,5,Yes
